# JMH 1.11.1 (released 32 days ago)
# VM version: JDK 1.8.0_60, VM 25.60-b23
# VM invoker: C:\Program Files\Java\jre1.8.0_60\bin\java.exe
# VM options: <none>
# Warmup: 5 iterations, 5 ms each
# Measurement: 10 iterations, 5 ms each
# Timeout: 10 min per iteration
# Threads: 100 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.eguimaraes.MyBenchmark.lockFreeBenchmark

# Run progress: 0.00% complete, ETA 00:00:01
# Fork: 1 of 10
# Warmup Iteration   2: 227375.074 ops/s
# Warmup Iteration   3: 264025.322 ops/s
# Warmup Iteration   4: 232882.313 ops/s
# Warmup Iteration   5: 262943.001 ops/s
Iteration   1: 180020.649 ops/s
Iteration   2: 230769.774 ops/s
Iteration   3: 180721.715 ops/s
Iteration   4: 245543.462 ops/s
Iteration   5: 206950.890 ops/s
Iteration   6: 234367.447 ops/s
Iteration   7: 237041.959 ops/s
Iteration   8: 181364.106 ops/s
Iteration   9: 340083.669 ops/s
Iteration  10: 237463.465 ops/s

# Run progress: 65.00% complete, ETA 00:02:57
# Fork: 4 of 10
# Warmup Iteration   1: 92926.224 ops/s
# Warmup Iteration   2: 336985.172 ops/s
# Warmup Iteration   3: 318645.931 ops/s
# Warmup Iteration   4: 251533.634 ops/s
# Warmup Iteration   5: 274806.033 ops/s
Iteration   1: 233799.896 ops/s
Iteration   2: 340632.231 ops/s
Iteration   3: 288491.739 ops/s
Iteration   4: 248238.868 ops/s
Iteration   5: 372009.631 ops/s
Iteration   6: 302857.545 ops/s
Iteration   7: 300750.522 ops/s
Iteration   8: 252160.762 ops/s
Iteration   9: 322347.250 ops/s
Iteration  10: 242045.079 ops/s

# Run progress: 70.00% complete, ETA 00:02:22
# Fork: 5 of 10
# Warmup Iteration   1: 105626.487 ops/s
# Warmup Iteration   2: 291037.572 ops/s
# Warmup Iteration   3: 391785.733 ops/s
# Warmup Iteration   4: 428627.441 ops/s
# Warmup Iteration   5: 417314.208 ops/s
Iteration   1: 14228.674 ops/s
Iteration   2: 408153.775 ops/s
Iteration   3: 353500.322 ops/s
Iteration   4: 317091.369 ops/s
Iteration   5: 458260.116 ops/s
Iteration   6: 276355.857 ops/s
Iteration   7: 249776.993 ops/s
Iteration   8: 251263.844 ops/s
Iteration   9: 216831.650 ops/s
Iteration  10: 344660.065 ops/s

# Run progress: 75.00% complete, ETA 00:01:51
# Fork: 6 of 10
# Warmup Iteration   1: 76081.047 ops/s
# Warmup Iteration   2: 348351.427 ops/s
# Warmup Iteration   3: 318952.611 ops/s
# Warmup Iteration   4: 142728.166 ops/s
# Warmup Iteration   5: 259883.120 ops/s
Iteration   1: 339142.321 ops/s
Iteration   2: 415775.832 ops/s
Iteration   3: 464381.445 ops/s
Iteration   4: 269209.547 ops/s
Iteration   5: 332423.375 ops/s
Iteration   6: 278668.395 ops/s
Iteration   7: 146091.394 ops/s
Iteration   8: 263434.239 ops/s
Iteration   9: 240361.767 ops/s
Iteration  10: 269674.547 ops/s

# Run progress: 80.00% complete, ETA 00:01:24
# Fork: 7 of 10
# Warmup Iteration   1: 122521.922 ops/s
# Warmup Iteration   2: 321816.935 ops/s
# Warmup Iteration   3: 320499.238 ops/s
# Warmup Iteration   4: 263302.611 ops/s
# Warmup Iteration   5: 308218.403 ops/s
Iteration   1: 346640.146 ops/s
Iteration   2: 318745.020 ops/s
Iteration   3: 244868.598 ops/s
Iteration   4: 238177.610 ops/s
Iteration   5: 329039.669 ops/s
Iteration   6: 272877.442 ops/s
Iteration   7: 263238.795 ops/s
Iteration   8: 245187.486 ops/s
Iteration   9: 192775.404 ops/s
Iteration  10: 332867.767 ops/s

# Run progress: 85.00% complete, ETA 00:00:59
# Fork: 8 of 10
# Warmup Iteration   1: 88192.728 ops/s
# Warmup Iteration   2: 283051.870 ops/s
# Warmup Iteration   3: 241987.191 ops/s
# Warmup Iteration   4: 310018.685 ops/s
# Warmup Iteration   5: 240396.476 ops/s
Iteration   1: 298931.665 ops/s
Iteration   2: 291981.845 ops/s
Iteration   3: 275398.388 ops/s
Iteration   4: 273322.353 ops/s
Iteration   5: 291973.397 ops/s
Iteration   6: 240810.885 ops/s
Iteration   7: 328022.278 ops/s
Iteration   8: 225397.569 ops/s
Iteration   9: 256769.924 ops/s
Iteration  10: 207194.067 ops/s

# Run progress: 90.00% complete, ETA 00:00:37
# Fork: 9 of 10
# Warmup Iteration   1: 151403.231 ops/s
# Warmup Iteration   2: 378182.125 ops/s
# Warmup Iteration   3: 404207.817 ops/s
# Warmup Iteration   4: 480324.762 ops/s
# Warmup Iteration   5: 241253.118 ops/s
Iteration   1: 414056.717 ops/s
Iteration   2: 492655.237 ops/s
Iteration   3: 493762.843 ops/s
Iteration   4: 409269.866 ops/s
Iteration   5: 244335.654 ops/s
Iteration   6: 281907.030 ops/s
Iteration   7: 169212.603 ops/s
Iteration   8: 198002.845 ops/s
Iteration   9: 165923.427 ops/s
Iteration  10: 319910.656 ops/s

# Run progress: 95.00% complete, ETA 00:00:18
# Fork: 10 of 10
# Warmup Iteration   1: 82956.528 ops/s
# Warmup Iteration   2: 306591.213 ops/s
# Warmup Iteration   3: 412247.239 ops/s
# Warmup Iteration   4: 363231.506 ops/s
# Warmup Iteration   5: 588132.249 ops/s
Iteration   1: 340491.883 ops/s
Iteration   2: 250666.797 ops/s
Iteration   3: 334607.904 ops/s
Iteration   4: 316792.256 ops/s
Iteration   5: 370004.275 ops/s
Iteration   6: 220039.231 ops/s
Iteration   7: 262471.080 ops/s
Iteration   8: 378791.997 ops/s
Iteration   9: 293198.288 ops/s
Iteration  10: 332135.604 ops/s


Result "synchronizedBenchmark":
  287437.017 ±(99.9%) 26329.816 ops/s [Average]
  (min, avg, max) = (14228.674, 287437.017, 493762.843), stdev = 77634.063
  CI (99.9%): [261107.201, 313766.834] (assumes normal distribution)


# Run complete. Total time: 00:05:46

Benchmark                           Mode  Cnt         Score       Error  Units
MyBenchmark.lockFreeBenchmark      thrpt  100  10788771.146 ± 89998.448  ops/s
MyBenchmark.synchronizedBenchmark  thrpt  100    287437.017 ± 26329.816  ops/s
